,project,#dependencies,#bloated,#vulnerable,#bloated&vulnerable,#vulnerabilities
1,AIF360,54,1,18,1,979
2,ai-platform-samples,77,3,37,1,4281
3,bootstrap.pytorch,26,5,10,1,30
4,botbuilder-python,148,2,38,1,161
5,brainiak,52,1,13,1,541
6,cogdl,49,5,16,1,29
7,cortex,67,2,52,1,215
8,deepcell-tf,41,3,13,1,970
9,delft,35,2,13,1,961
10,exbert,51,2,23,1,1023
11,fancyimpute,12,2,4,1,6
12,fathom,42,1,13,1,26
13,graphbrain,21,3,7,1,28
15,healthcare,74,2,29,1,2674
16,hummingbird,22,1,10,1,23
18,jiant,56,7,17,1,33
19,kale,58,2,28,1,2067
20,kipoi,32,2,14,1,518
21,loudml,78,5,22,1,997
23,magenta,30,2,5,1,481
24,mcfly,14,2,7,1,480
25,mesh,12,1,4,1,954
31,nflows,19,3,7,1,24
32,persephone,18,1,7,1,491
33,pytorch-ts,11,3,5,1,9
34,RMDL,17,1,15,1,987
36,surreal,51,5,9,1,1449
37,TextRecognitionDataGenerator,26,1,11,1,663
38,zoltar,10,2,2,1,476
